iter	Logloss
0	0.6023763389
1	0.5079179058
2	0.4523337036
3	0.4072575086
4	0.3558688949
5	0.3287184575
6	0.3066776778
7	0.2903897711
8	0.2724946221
9	0.2594546374
10	0.2487499506
11	0.2395236822
12	0.2311329476
13	0.2239852813
14	0.2150286848
15	0.2085634348
16	0.2020302971
17	0.1971781494
18	0.1913298148
19	0.1850549701
20	0.1829012265
21	0.1794869756
22	0.1759872883
23	0.1735115669
24	0.1701012566
25	0.1662793255
26	0.1644562529
27	0.1629882005
28	0.1613808361
29	0.1598308015
30	0.157872723
31	0.1565162856
32	0.1550315147
33	0.153176422
34	0.1522842024
35	0.1514535009
36	0.1500497848
37	0.1487204558
38	0.1474805212
39	0.1468072088
40	0.1443436477
41	0.1438273102
42	0.1428343942
43	0.1423024148
44	0.1410582138
45	0.140480738
46	0.1397052752
47	0.138884121
48	0.1384537668
49	0.1376431335
50	0.1368402033
51	0.1361406541
52	0.1354656817
53	0.1348223417
54	0.1343649576
55	0.1339071119
56	0.1332890085
57	0.1326906875
58	0.1321498401
59	0.1316885741
60	0.1307852468
61	0.129827556
62	0.1291191572
63	0.1280606955
64	0.127509231
65	0.1271386832
66	0.1268279642
67	0.1265417303
68	0.1263324744
69	0.12590267
70	0.1251140841
71	0.124824627
72	0.1243414025
73	0.1240143618
74	0.1237340123
75	0.1230499755
76	0.1226217621
77	0.1223271599
78	0.1219753094
79	0.1214181897
80	0.1208178967
81	0.1203259131
82	0.1196966374
83	0.1193789211
84	0.1189484222
85	0.1186589433
86	0.118463596
87	0.1182455197
88	0.1181002613
89	0.1179334808
90	0.1174702466
91	0.1172622792
92	0.1168761497
93	0.1164116307
94	0.1160552004
95	0.1158968498
96	0.1154389836
97	0.1153040428
98	0.1149538377
99	0.1146882897
100	0.1144748546
101	0.1142064241
102	0.1137279489
103	0.1132950233
104	0.1131484442
105	0.1129018666
106	0.112535899
107	0.1121435361
108	0.1118560087
109	0.1116769266
110	0.1115087303
111	0.1113232702
112	0.1111207795
113	0.1109832897
114	0.1108223928
115	0.1105803576
116	0.1102756503
117	0.109961491
118	0.1095017167
119	0.1091153979
120	0.1089009102
121	0.1087331949
122	0.1083236116
123	0.1079003233
124	0.1077423154
125	0.1076200296
126	0.1074881098
127	0.1072070809
128	0.106932912
129	0.1066908779
130	0.1062852585
131	0.1061562873
132	0.1059476509
133	0.1056287772
134	0.1054406613
135	0.1052581455
136	0.1050313296
137	0.1046867445
138	0.1044229641
139	0.1041953723
140	0.1039877718
141	0.1038534479
142	0.103698143
143	0.1034381995
144	0.1032701963
145	0.1029554655
146	0.102793486
147	0.1025277441
148	0.1023492701
149	0.102026199
150	0.1018031755
151	0.1017253731
152	0.1015088348
153	0.1012662368
154	0.1010579347
155	0.1009642588
156	0.1008599184
157	0.1006115077
158	0.1003855376
159	0.1000694093
160	0.09990561309
161	0.09977962606
162	0.09960153329
163	0.09936834202
164	0.09918285722
165	0.09899200188
166	0.09880628363
167	0.09861904259
168	0.09846893754
169	0.0983792673
170	0.09823662112
171	0.0981661304
172	0.09806275473
173	0.09799382378
174	0.09778066654
175	0.09760804714
176	0.09747214943
177	0.09729377377
178	0.09718573526
179	0.09697146353
180	0.09674760603
181	0.09665076252
182	0.09654258465
183	0.09645025398
184	0.0962634947
185	0.09619545512
186	0.09605310845
187	0.09599633142
188	0.09587825272
189	0.09576324396
190	0.09566319612
191	0.09550474165
192	0.09544095372
193	0.09534483848
194	0.09523540065
195	0.09515709627
196	0.09501772859
197	0.09493096364
198	0.09483103284
199	0.09477924358
200	0.09465119668
201	0.09456916621
202	0.09450878527
203	0.09442887707
204	0.09430709742
