iter	Passed	Remaining
402	13074	19367
403	13104	19332
404	13140	19305
405	13167	19264
406	13189	19217
407	13218	19179
408	13251	19147
409	13272	19099
410	13301	19062
411	13333	19029
412	13363	18994
413	13388	18951
414	13418	18915
415	13446	18876
416	13469	18831
417	13495	18790
418	13520	18748
419	13555	18719
420	13587	18687
421	13618	18652
422	13646	18614
423	13670	18571
424	13694	18528
425	13720	18487
426	13748	18449
427	13776	18411
428	13806	18376
429	13915	18445
430	13973	18446
431	14064	18492
432	14127	18500
433	14215	18538
434	14278	18545
435	14307	18507
436	14348	18485
437	14377	18447
438	14402	18404
439	14431	18366
440	14456	18324
441	14483	18283
442	14517	18253
443	14550	18220
444	14577	18180
445	14609	18146
446	14635	18105
447	14660	18063
448	14685	18021
449	14721	17992
450	14747	17952
451	14775	17913
452	14798	17869
453	14830	17835
454	14857	17796
455	14881	17753
456	14911	17717
457	14941	17682
458	14988	17666
459	15044	17661
460	15071	17621
461	15096	17579
462	15131	17549
463	15159	17511
464	15189	17475
465	15220	17441
466	15249	17404
467	15273	17362
468	15302	17325
469	15332	17289
470	15364	17255
471	15398	17225
472	15428	17189
473	15454	17150
474	15480	17110
475	15516	17081
476	15550	17049
477	15586	17021
478	15619	16988
479	15664	16970
480	15714	16955
481	15764	16941
482	15904	17023
483	15974	17030
484	16055	17048
485	16085	17012
486	16111	16971
487	16139	16933
488	16167	16894
489	16197	16858
490	16230	16825
491	16255	16784
492	16286	16748
493	16316	16713
494	16352	16683
495	16378	16642
496	16410	16608
497	16440	16572
498	16473	16539
499	16499	16499
500	16529	16463
501	16554	16422
502	16579	16382
503	16605	16341
504	16639	16309
505	16673	16277
506	16698	16237
507	16727	16200
508	16752	16160
509	16779	16121
510	16810	16086
511	16839	16050
512	16867	16012
513	16906	15985
514	16981	15992
515	17016	15961
516	17046	15925
517	17085	15897
518	17115	15862
519	17147	15828
520	17172	15788
521	17200	15750
522	17226	15711
523	17253	15672
524	17283	15637
525	17312	15601
526	17343	15566
527	17366	15524
528	17397	15490
529	17429	15456
530	17456	15418
531	17492	15387
532	17528	15358
533	17554	15319
534	17577	15277
535	17605	15240
536	17631	15201
537	17661	15166
538	17690	15130
539	17736	15108
540	17786	15090
541	17817	15055
542	17844	15018
543	17875	14984
544	17909	14951
545	17931	14909
546	17955	14870
547	17977	14827
548	18010	14795
549	18039	14759
550	18063	14719
551	18089	14681
552	18126	14651
553	18151	14613
554	18174	14572
555	18201	14535
556	18228	14497
557	18254	14459
558	18278	14420
559	18307	14384
560	18336	14348
561	18366	14313
562	18395	14278
563	18423	14242
564	18454	14208
565	18500	14185
566	18540	14159
567	18628	14167
568	18654	14129
569	18680	14092
570	18704	14052
571	18727	14012
572	18758	13978
573	18802	13954
574	18826	13915
575	18859	13882
576	18887	13846
577	18917	13811
578	18941	13772
579	18974	13740
